ENGINEERING
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
SRMJEEE 2018 SRM Joint Engineering Entrance Examination,Online Test,25 Mar 18 - 01 Nov 17,06 Apr 18 - 30 Apr 18,03 May 18,https://exams.collegedunia.com/srmjeee/application-process
Tripura JEE 2018 Tripura Joint Entrance Examination,Written Test,27 Mar 18 - 02 Jan 18,03 May 18 - 04 May 18,04 Jun 18,
AMUEEE 2018 Aligarh Muslim University Engineering Entrance Exam 2018,Online Test,28 Mar 18 - 05 Jan 18,08 Apr 18,03 May 18,
JCECE 2018 Jharkhand Combined Entrance Competitive Examination,Written Test,03 Apr 18 - 30 Apr 18,14 May 18,29 May 18,https://exams.collegedunia.com/jcece/application-process
APIIT NAT 2018 APIIT National Aptitude Test,Online Test,15 Apr 18 - 15 May 18,24 Jun 18,,
TNEA 2017 Tamil Nadu Engineering Admissions,Written Test,15 Apr 18 - 28 May 18,22 Jun 18,,
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
GCET 2018 Goa Common Entrance Test,Written Test,19 Apr 18 - 10 Mar 18,13 May 18,30 May 18,
SPSAT 2018 Sri Padampat Singhania Admission Test,Online Test,20 Apr 18 - 10 Jun 18,,,
AMIETE 2018 Associate Member of Institution Electronics and Telecommunication Engineers 2018,Written Test,25 Apr 18 - 25 Oct 18,15 Jun 18 - 15 Dec 18,25 Sep 18,
HITSEEE 2018 Hindustan Institute of Technology and Science Engineering Entrance Examination,Online Test,25 Apr 18 - 10 Dec 17,29 Apr 18 - 03 May 18,10 May 18,
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
NIPER JEE 2018 National Institute of Pharmaceutical Education and Research Joint Entrance Exam,Online Test,27 Apr 18 - 10 May 18,10 Jun 18,,
JEE Advanced 2018 Joint Entrance Examination (Advanced),Written Test,28 Apr 18 - 02 May 18,20 May 18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
HPCET 2018 Himachal Pradesh Common Entrance Test,Written Test,07 May 18 - 03 Mar 18,13 May 18,27 May 18,https://exams.collegedunia.com/hpcet/application-process
REAP 2018 Rajasthan Engineering Admission Process,Online Test,07 May 18 - 04 Jun 18,,,
MH CET 2018 Maharashtra Common Entrance Test,Online Test,10 May 18 - 23 May 18,18 Jun 18,,
Assam CEE 2018 Assam Common Entrance Examination,Written Test,18 May 18 - 16 Mar 18,09 Jun 18,23 Jun 18,
AP PGECET 2017 Andhra Pradesh Post Graduate Engineering Common Entrance Test,Online Test,20 May 18 - 03 Mar 18,27 May 18,15 Jun 18,https://exams.collegedunia.com/ap-pgecet/application-process
VITMEE 2018 VIT Masters Entrance Examination,Online Test,27 May 18 - 10 Mar 18,03 Jun 18,16 Jun 18,
WBUT PGET 2018 West Bengal University of Technology Post Graduate Entrance Test,Written Test,15 Jun 18 - 29 Jun 18,20 Jul 18,,
ITSAT 2018 ICFAI Tech School Admission Test,Online Test , Written Test,09 Aug 18 - 02 Mar 18,25 May 18,,
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
BEEE 2018 Bharath Engineering Entrance Examination,Online Test , Written Test,28 Jan 18,10 Feb 18,,
TS POLYCET 2018 Telangana State Polytechnic Common Entrance Test,Written Test,21 Apr 18,04 May 18,,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
VEE 2018 Vels Entrance Examination 2018,Written Test,03 May 18,,,
AUCET 2018 Andhra University Common Entrance Test,Written Test,08 May 18,18 May 18,,
JNUEE 2018 Jawaharlal Nehru University Entrance Examination,Written Test,14 May 18,18 Jun 18,,
HP PAT 2018 Himachal Pradesh Polytechnic Admission Test,Online Test , Written Test,19 May 18,08 Jun 18,,
SRMS EET 2018 Shri Ram Murti Smarak Engineering Entrance Exam,Online Test , Written Test,19 May 18,24 May 18,,
PESSAT 2018 PES Scholastic Aptitude Test,Online Test , Written Test,26 May 18,29 May 18,,
BIHAR ITICAT 2018 Bihar Industrial Training Institute Competitive Admission Test,Written Test,28 May 18,10 Jun 18,,
CEE AMPAI 2018 Common Entrance Examination of Association of Minority Professional Academic Institution,Written Test,30 Jul 18,07 Aug 18,,
Chattisgarh Pre Engineering Test 2018 CGPET,Online Test,12 May 17,,,
DPU AIBTCET 2017 DY PATIL VIDYAPEETH ALL INDIA BIOTECHNOLOGY COMMON ENTRANCE TEST,Written Test,,,,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
AUEET 2017 Alliance University Engineering Entrance Exam,Online Test,,,,
AP ECET 2018 Andhra Pradesh Engineering Common Entrance Test,Online Test,,,,
GVSAT 2018 Suresh Gyan Vihar University Entrance Exam,Online Test,01 Jun 18,,,
JEECE 2018 Jharkhand Engneering Entrance Cometitive Examination,Written Test,,,,
KLUEEE 2018 KLU Engineering Entrance Exam,Online Test , Written Test,,,,
SUAT 2017 Sharda University Admission Test,Online Test,,,,
GRE 2016 Graduate Record Examination,Online Test,,,,
SLIET SET 2018 Sant Longowal Institute of Engineering and Technology Entrance Exam,Online Test , Written Test,,,,
CENTAC 2018 Central Admission Committee,Test,,,,
Allahabad University PGAT 2018 Allahabad University Post Graduate Admission Test,Online Test,,,,
RTU CAM 2018 Rajasthan Technical University Centralized Admission for M.Tech/M.Arch.,Online Test,,,,
Rajasthan LEEP 2017 Rajasthan Lateral Entry in Engineering Program,Test,,,,
ICAR AIEEA 2017 Indian Council of Agricultural Research All India Entrance Examination for Admission,Written Test,,,,
LPUNEST 2018 LPUNEST,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07 May 17,
CUSAT CAT Engineering 2017 Cochin University of Science and Technology Common Admission Test,Online Test,20 Jan 17 - 15 Feb 17,30 Apr 17,25 May 17,
GAT PGT 2017 GITAM Admission Test,Online Test,28 Nov 17 - 25 Mar 18,15 Apr 18,05 May 18,https://exams.collegedunia.com/gat-pgt/application-process
VITEEE 2018 Vellore Institute of Technology Engineering Entrance Examination,Online Test,09 Nov 17 - 25 Feb 18,07 Apr 18 - 15 Apr 18,24 Apr 18,
AEEE 2018 Amrita Engineering Entrance Examination,Online Test , Written Test,30 Oct 17 - 31 Mar 18,05 May 18,,
VSAT 2018 Vignan Scholastic Aptitude Test,Online Test,28 Nov 17 - 08 Apr 18,27 Apr 18,06 May 18,
MCAER PG CET 2018 Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018,Written Test,04 Dec 17 - 28 Dec 17,25 Mar 18,09 Apr 18,
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
WBJEE 2018 West Bengal Joint Entrance Examination,Online Test,19 Dec 17 - 10 Apr 18,22 Apr 18,05 Jun 18,https://exams.collegedunia.com/wbjee/admit-card
VTUEEE 2018 Veltech Technical University Engineering Entrance Exam,Online Test , Written Test,02 Oct 17 - 15 Jan 18,28 Jan 18,,
GATE 2018 Graduate Aptitude Test in Engineering,Online Test,01 Sep 17 - 05 Oct 17,03 Feb 18,17 Mar 18,https://exams.collegedunia.com/gate/application-process
IIITH PGEE 2017 International Institute of Information Technology, Hyderabad Post Graduate Entrance Examination,Written Test,22 Apr 17 - 02 Feb 17,30 Apr 17,19 May 17,https://exams.collegedunia.com/iiith-pgee/admit-card
ATIT 2017 Admission Test for ICFAI Science and Technology,Online Test , Written Test,15 Mar 17 - 20 Apr 17,30 May 17,,
RPET 2017 Rajasthan Pre Engineering Test,Written Test,15 Mar 17 - 20 Apr 17,20 May 17,30 May 17,
LEET 2018 Haryana Lateral Entry Entrance Test,Online Test,26 Apr 17 - 24 May 17,30 May 17 - 02 Jun 17,07 Jun 17,https://exams.collegedunia.com/leet/application-process
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
MP PPT 2018 Madhya Pradesh Pre-Polytechnic Test,Written Test,28 Aug 17 - 23 Apr 18,10 Jun 18,02 Jul 18,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
UPCATET 2018 Uttar Pradesh Combined Agriculture and Technology Entrance Test,Online Test,,,,
JNU CEEB 2018 Jawaharlal Nehru University Combined Entrance Examination for Biotechnology,Test,,,,
IMU CET 2017 Indian Maritime University Common Entrance Test,Online Test,,,,
OUAT 2018 Orissa University of Agriculture and Technology,Written Test,,,,
JUET 2018 Jammu University Entrance Test,Written Test,,,,
Rajasthan Polytechnic Exam 2018 Rajasthan Polytechnic Exam,Online Test , Written Test,,,,
BITS HD 2018 BITS HD Admission Test,Written Test,,,,
PULEET 2018 Panjab University Lateral Engineering Entrance Test,Online Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
SAAT 2018 Siksha ‘O’ Anusandhan University Admission Test,Online Test,,,,
ITM NEST 2018 ITM National Entrance and Scholarship Test 2018,Online Test , Written Test,,,,
Rajasthan JET 2018 Rajasthan JET,Online Test,,,,
REVA EET 2018 REVA University’s Engineering Entrance Test,Online Test , Written Test,,,,
BPTPIA CET 2018 Bihar Private Technical & Professional Institutions Association Competitive Entrance Test,Written Test,,,,
AISEEE 2018 All India Sankara Engineering Entrance Exam,Online Test , Written Test,,,,
JEXPO 2018 Joint Entrance Examination for Polytechnics,Written Test,,,,
AUAT 2018 Aliah University Admission Test,Written Test,,,,
SKUCET 2018 SRI KRISHNADEVARAYA UNIVERSITY COMMON ENTRANCE TEST,Written Test,,,,
AUEE 2018 AISECT University Entrance Exam,Online Test , Written Test,,,,
JEECUP 2018 UP JEE Polytechnic,Written Test,,,,
RUET 2018 Rama University Entrance Test,Written Test,,,,
GITAM GAT UGTP 2018 GITAM GAT UGTP,Online Test,,,,
IEMJEE 2018 Institute of Engineering & Management Joint Entrance Exam,Online Test,,,,
Jharkhand Polytechnic 2018 Jharkhand Polytechnic,Written Test,,,,
GLAET 2018 GLA University Entrance Test,Online Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
GUJCET 2018 Gujarat Common Entrance Test,Written Test,29 May 17,29 May 18,,


MANAGEMENT
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
ATMA 2018 AIMS Test for Management Admissions,Online Test,09 Jan 18 - 08 Mar 18,11 Mar 18,29 Mar 18,https://exams.collegedunia.com/atma/admit-card
SRMCAT 2018 SRM Common Admission Test,Online Test,12 Jan 18 - 05 Apr 18,21 Apr 18 - 22 Apr 18,09 May 18,
MAHCET 2018 Maharashtra MBA CET(MAH-MBA/MMS CET),Online Test,18 Jan 18 - 12 Feb 18,19 May 18 - 04 Mar 18,12 Mar 18,https://exams.collegedunia.com/news/e-20-mah-cet-2018-application-form
UPSEE MBA 2018 Uttar Pradesh State Entrance Examination MBA,Written Test,18 Jan 18 - 11 Apr 18,23 Apr 18,30 May 18,
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
TANCET 2018 Tamil Nadu Common Entrance Test,Written Test,28 Jan 18 - 15 Mar 18,25 Mar 18,07 Apr 18,https://exams.collegedunia.com/tancet/admit-card
NPAT 2018 National Test for Programs After Twelfth,Online Test,05 Feb 18 - 02 May 18,13 May 18,10 Jun 18,
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
XIC OET 2018 Xavier Institute of Communication Online Entrance Test,Online Test,26 Mar 18 - 24 Apr 18,21 Apr 18,17 Jun 18,
KMAT 2018 Karnataka Management Aptitude Test,Written Test,02 Apr 18 - 20 Apr 18,26 May 18,12 Jun 18,
APIIT NAT 2018 APIIT National Aptitude Test,Online Test,15 Apr 18 - 15 May 18,24 Jun 18,,
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
SPSAT 2018 Sri Padampat Singhania Admission Test,Online Test,20 Apr 18 - 10 Jun 18,,,
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
NIPER JEE 2018 National Institute of Pharmaceutical Education and Research Joint Entrance Exam,Online Test,27 Apr 18 - 10 May 18,10 Jun 18,,
APICET 2018 Andhra Pradesh Integrated Common Entrance Test,Written Test,28 Apr 18 - 01 Mar 18,02 May 18,10 May 18,
TSICET 2018 Telangana State Integrated Common Entrance Test,Written Test,30 Apr 18 - 09 Mar 18,06 May 18,25 May 18 - 16 May 18,https://exams.collegedunia.com/tsicet/admit-card
BUMAT 2018 BHARATI VIDYAPEETH UNDERGRADUATE MANAGEMENT APTITUDE TEST,Written Test,24 May 18 - 22 Feb 18,03 Jun 18,14 Jun 18,https://exams.collegedunia.com/bumat/admit-card
HPU MAT 2017 Himachal Pradesh University Management Aptitude Test,Written Test,30 May 18 - 15 Apr 18,03 Jun 18,17 Jun 18,https://exams.collegedunia.com/hpu-mat/application-process
DU JAT 2018 Delhi University Joint Admission Test,Written Test,10 Jun 18 - 02 May 18,24 Jun 18,09 Jul 18,https://exams.collegedunia.com/du-jat/application-process
KU CAT 2017 Kerala University Common Entrance Test,Written Test,25 Jun 18 - 15 May 18,08 Jul 18,24 Jul 18,
EMAT 2018 Executive Management Aptitude Test,Written Test,30 Jun 18 - 01 Jul 18,15 Sep 18,,
HBSAT 2018 Hyderabad Business School Admission Test,Online Test,10 Jan 18,18 Mar 18,,
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
JKLU MET 2018 JK Lakshimpat University Management Entrance Test,Written Test,02 Apr 18,04 Jun 18,,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
VEE 2018 Vels Entrance Examination 2018,Written Test,03 May 18,,,
AUCET 2018 Andhra University Common Entrance Test,Written Test,08 May 18,18 May 18,,
AIMA UGAT 2018 All India Management Association Under Graduate Aptitude Test,Test,12 May 18,04 Jun 18,,
PESSAT 2018 PES Scholastic Aptitude Test,Online Test , Written Test,26 May 18,29 May 18,,
CEE AMPAI 2018 Common Entrance Examination of Association of Minority Professional Academic Institution,Written Test,30 Jul 18,07 Aug 18,,
NMAT 2017 NMAT by GMAC,Online Test,04 Oct 17 - 04 Jul 17,08 Oct 17 - 20 Dec 17,17 Jan 18,https://exams.collegedunia.com/nmat/application-process
MICAT 2018 MICA Admission Test,Online Test,26 Sep 17 - 30 Nov 17,17 Feb 18 - 17 Dec 17,03 Jan 18,https://exams.collegedunia.com/micat/application-process
IIFT 2018 Indian Institute of Foreign Trade,Written Test,15 Sep 17 - 15 Jul 17,03 Dec 17,23 Dec 17,https://exams.collegedunia.com/iift/application-process
GRE 2016 Graduate Record Examination,Online Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
CMAT 2018 Common Management Admission Test,Online Test,10 Oct 17 - 10 Jan 18,21 Jan 18,05 Feb 18,https://exams.collegedunia.com/cmat/admit-card
SUAT 2017 Sharda University Admission Test,Online Test,,,,
TOEFL 2017 Test of English as a Foreign Language,Online Test , Written Test,20 Aug 17 - 15 Sep 17,14 Oct 17,,
AUEE 2018 AISECT University Entrance Exam,Online Test , Written Test,,,,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
SNAP 2017 Symbiosis National Aptitude Test,Online Test,10 Aug 17 - 24 Nov 17,17 Dec 17,28 Dec 17,https://exams.collegedunia.com/snap/application-process
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
LPUNEST 2018 LPUNEST,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07 May 17,
ITM NEST 2018 ITM National Entrance and Scholarship Test 2018,Online Test , Written Test,,,,
UPCATET 2018 Uttar Pradesh Combined Agriculture and Technology Entrance Test,Online Test,,,,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
RMAT 2018 Rajasthan Management Aptitude Test,Online Test,,,,
JUET 2018 Jammu University Entrance Test,Written Test,,,,
IELTS 2016 International English Language Testing System,Online Test,,,,
IMU CET 2017 Indian Maritime University Common Entrance Test,Online Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
SLIET SET 2018 Sant Longowal Institute of Engineering and Technology Entrance Exam,Online Test , Written Test,,,,
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
IBSAT 2017 ICFAI Business School Aptitude Test,Online Test,15 Dec 17 - 01 Jul 17,21 Dec 17 - 24 Dec 17,02 Jan 18,
Dibrugarh University Entrance Exam 2017 Dibrugarh University Entrance Exam,Written Test,,,,
MCAER PG CET 2018 Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018,Written Test,04 Dec 17 - 28 Dec 17,25 Mar 18,09 Apr 18,
IEMJEE 2018 Institute of Engineering & Management Joint Entrance Exam,Online Test,,,,
GLAET 2018 GLA University Entrance Test,Online Test,,,,
MUCMET 2018 Mumbai University Common Management Entrance Test,Written Test,,,,
IRMA 2018 Institute of Rural Management Anand,Online Test,12 Oct 17 - 31 Dec 17,04 Feb 18,15 Mar 18,
GMAT 2017 Graduate Management Admission Test,Online Test,,,,
kmat kerala 2018 Kerala Management Aptitude Test,Written Test,15 Nov 17 - 03 Jan 18,04 Feb 18,01 Mar 18,
XAT 2018 Xavier Aptitude Test,Online Test,16 Aug 17 - 30 Nov 17,07 Jan 18,28 Jan 18,https://exams.collegedunia.com/xat/application-process
JEMAT 2017 Joint Entrance Management Aptitude Test,Online Test,16 Jul 17,21 Jul 17,,


SCIENCE
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
NEST 2018 National Entrance Screening Test,Written Test,07 Jan 18 - 05 Mar 18,20 May 18,16 Jun 18,https://exams.collegedunia.com/nest/application-process
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
IIT JAM 2018 Indian Institute Of Technology Joint Admission Test for M.Sc.,Online Test,10 Jan 18 - 05 Sep 17,11 Feb 18,20 Mar 18,https://exams.collegedunia.com/iit-jam/admit-card
BITSAT 2018 Birla Institute of Technology and Science Admission Test,Online Test,14 Jan 18 - 03 Mar 18,20 May 18,12 Jun 18,
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
NPAT 2018 National Test for Programs After Twelfth,Online Test,05 Feb 18 - 02 May 18,13 May 18,10 Jun 18,
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
AIFD WAT 2018 Army Institute of Fashion & Design Written Admission Test 2018,Written Test,22 Feb 18 - 16 Apr 18,13 May 18,21 May 18,
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
FRI MSc 2018 Forest Research Institute M.Sc. 2018,Written Test,05 Mar 18 - 09 Apr 18,13 May 18,,
TUEE 2018 Tezpur University Entrance Exam 2018,Written Test,12 Mar 18 - 05 May 18,22 Apr 18,11 Jun 18,
AKNUCET 2018 Adikavi Nannaya University Common Entrance Test,Written Test,12 Mar 18 - 12 Apr 18,07 May 18,,
CG PAT 2018 Chhattisgarh Pre-Agriculture Test,Written Test,12 Mar 18 - 12 Apr 18,27 May 18,07 Jul 18,
TS EAMCET 2018 Telangana State Engineering, Agriculture & Medical Common Entrance Test,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28 May 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
DAVUET 2018 DAV University Entrance Test,Written Test,23 Mar 18 - 15 Apr 18,22 Apr 18,12 May 18,
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
Tripura JEE 2018 Tripura Joint Entrance Examination,Written Test,27 Mar 18 - 02 Jan 18,03 May 18 - 04 May 18,04 Jun 18,
JCECE 2018 Jharkhand Combined Entrance Competitive Examination,Written Test,03 Apr 18 - 30 Apr 18,14 May 18,29 May 18,https://exams.collegedunia.com/jcece/application-process
DUCET 2018 Dravidian University Common Entrance Test 2018,Written Test,03 Apr 18 - 15 May 18,05 Jun 18,18 Jun 18,
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
JEE Advanced 2018 Joint Entrance Examination (Advanced),Written Test,28 Apr 18 - 02 May 18,20 May 18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
KLEU AIET 2018 KLE University All India Entrance Test,Written Test,10 May 18 - 07 Jun 18,16 Jun 18,27 Jun 18,
PU CET 2018 Punjab University Combined Entrance Test,Online Test,25 May 18 - 04 Jul 17,03 Jun 18,16 Jun 18,
IISER 2018 Indian Institute of Science Education and Research,Written Test,25 Jun 18 - 23 May 18,07 Jul 18,16 Jul 18,
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
AUCET 2018 Andhra University Common Entrance Test,Written Test,08 May 18,18 May 18,,
JNUEE 2018 Jawaharlal Nehru University Entrance Examination,Written Test,14 May 18,18 Jun 18,,
KU PGCET 2018 KU Post Graduate Common Entrance Test 2018,Written Test,04 Jun 18,,,
GSAT 2018 GITAM Science Admission Test,Written Test,,,,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
SLIET SET 2018 Sant Longowal Institute of Engineering and Technology Entrance Exam,Online Test , Written Test,,,,
IEMJEE 2018 Institute of Engineering & Management Joint Entrance Exam,Online Test,,,,
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,
AUAT 2018 Aliah University Admission Test,Written Test,,,,
NCHMCT JEE 2017 National Council for Hotel Management and Catering Technology Joint Entrance Examination,Written Test,19 Dec 16 - 12 Dec 16,29 Apr 17,18 May 17,
MCAER PG CET 2018 Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018,Written Test,04 Dec 17 - 28 Dec 17,25 Mar 18,09 Apr 18,
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
TISSNET 2018 Tata Institute of Social Sciences National Entrance Test,Online Test,24 Oct 17 - 18 Dec 17,06 Jan 18,27 Jan 18,https://exams.collegedunia.com/tissnet/admit-card
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
ISI Admission Test 2017 Indian Statistical Institute Admission Test,Online Test,09 Feb 17 - 04 Apr 17,08 May 17,10 Jun 17,https://exams.collegedunia.com/isi-admission-test/admit-card
MGU CAT 2018 Mahatma Gandhi University - Common Admission Test,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08 Jun 17,
BHU PET 2018 Banaras Hindu University Postgraduate Entrance Test,Written Test,,,,
Allahabad University PGAT 2018 Allahabad University Post Graduate Admission Test,Online Test,,,,
UPCATET 2018 Uttar Pradesh Combined Agriculture and Technology Entrance Test,Online Test,,,,
JNU CEEB 2018 Jawaharlal Nehru University Combined Entrance Examination for Biotechnology,Test,,,,
IMU CET 2017 Indian Maritime University Common Entrance Test,Online Test,,,,
CUSAT CAT 2018 Cochin University of Science and Technology Common Admission test,Online Test,,,,
AIIMS MSc 2018 AIIMS M.Sc. Entrance Examination,Online Test,,,,
JUET 2018 Jammu University Entrance Test,Written Test,,,,
RTU CAM 2018 Rajasthan Technical University Centralized Admission for M.Tech/M.Arch.,Online Test,,,,
ANUPGCET 2018 ACHARYA NAGARJUNA UNIVERSITY POST GRADUATE COMMON ENTRANCE TEST,Online Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
OUCET 2018 Osmania University Common Entrance Test,Written Test,,,,
HCEE 2017 Haryana Centralized Entrance Exam,Online Test,22 Jun 17 - 25 Jun 17,23 Jun 17,,
KVPY 2017 Kishore Vaigyanik Protsahan Yojana,Online Test , Written Test,05 Nov 17,18 Dec 17,,


COMPUTER-APPLICATIONS
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
ATMA 2018 AIMS Test for Management Admissions,Online Test,09 Jan 18 - 08 Mar 18,11 Mar 18,29 Mar 18,https://exams.collegedunia.com/atma/admit-card
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
TANCET 2018 Tamil Nadu Common Entrance Test,Written Test,28 Jan 18 - 15 Mar 18,25 Mar 18,07 Apr 18,https://exams.collegedunia.com/tancet/admit-card
MAH MCA CET 2018 Maharashtra MCA Common Entrance Test,Online Test,03 Feb 18 - 28 Feb 18,18 Mar 18,29 Mar 18,https://exams.collegedunia.com/mah-mca-cet/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
BIT MCA 2018 Birla Institute of Technology MCA Entrance Exam,Online Test,25 Feb 18 - 25 Apr 18,26 May 18,10 Jun 18,
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
